Metric,Dataset,harmonypy,harmonypy_scale_ilisi,harmonypy_scale_pcr,harmonypy_sel67_ilisi,harmonypy_sel67_pcr,pca,pca_scale_ilisi,pca_scale_pcr,pca_sel67_ilisi,pca_sel67_pcr,sca,sca_scale_ilisi,sca_scale_pcr,sca_sel67_ilisi,sca_sel67_pcr,scanorama,scanorama_scale_ilisi,scanorama_scale_pcr,scanorama_sel67_ilisi,scanorama_sel67_pcr,harmonypy_sel50_ilisi,harmonypy_sel50_pcr,pca_sel50_ilisi,pca_sel50_pcr,sca_sel50_ilisi,sca_sel50_pcr,scanorama_sel50_ilisi,scanorama_sel50_pcr,concord,concord_scale_ilisi,concord_scale_pcr,concord_sel50_ilisi,concord_sel50_pcr,concord_sel67_ilisi,concord_sel67_pcr
ari_batch,tabula_sapiens,0.7152649804625792,0.7048022969956775,0.704799395754864,0.8373319967530078,0.9180961708181778,0.5128700616370471,0.46285212381349394,0.500017125014101,0.6018332665990832,0.609199190060265,0.5155766059233117,0.4502560865182447,0.4776601109789931,0.39803012377694885,0.4607169043731895,0.5295773432373582,0.49899040568958025,0.5040862255223731,0.5138665498673859,0.5604874451149987,0.8902671577874562,0.9075617568575259,0.7395185295925255,0.7214694820233887,0.41581260903555595,0.5133759453798945,0.5088496013831655,0.529203792871039,0.7012473593882549,0.6695694608748004,0.6770597768239863,0.7067651895466747,0.7092857949916545,0.6616153044180121,0.7063927040663649
ari_batch,celegans_embryo,0.8980461907279611,0.9076932389344285,0.9289715097557898,0.9164485894560191,0.9869205128082639,0.867956534939208,0.906211712236721,0.911314278847748,0.9576261282527881,0.9174450891571797,0.8942835747105106,0.902257880710383,0.8962386720708657,0.920610471847111,0.9073367459371556,0.8814136443111448,0.8745148110837443,0.8828152333511123,0.9082342271781227,0.909143128952686,0.9599819253350019,0.9974734932446345,0.9878595933243398,0.9893162039301852,0.9383198027516376,0.8591790421168228,0.9154370761168094,0.9020557634198019,0.8886019439687352,0.8965162323154154,0.8785270020806868,0.8755610505121022,0.8896147766677919,0.8722745303845596,0.9008128757804192
ari_batch,ocular_atlas,0.611970979325726,0.6001311027748376,0.6102817767980095,0.9578137728270905,1,0.5905387382255316,0.5872496187345191,0.573614429775047,1,0.9045993520681633,0.5973224128070691,0.5767519895894276,0.5603343940480496,0.568645784717016,0.6060786382862877,0.5665374591193126,0.60683438359675,0.5682300453286669,0.5426549945748013,0.5601459945854029,0.9969594831461956,1,1,1,0.582884885857661,0.5920566980174699,0.5597103652702757,0.5888763174110739,0.6722039885612139,0.6751839376289169,0.6659903071424977,0.664150641212648,0.6837161029627211,0.6704664792157952,0.6790119235970631
ari_batch,tabula_muris,0.5870051212041232,0.5881335758949096,0.5796753906673806,0.7894819495587363,0.853661575919837,0.4415605745107884,0.5497184962965362,0.4296517242820151,0.7788285902688045,0.7382285871290194,0.45328757658685565,0.4435617544151286,0.5225570875982317,0.5499984896774707,0.4720460922009442,0.45462852192539277,0.4969411159707748,0.4517341224818064,0.4425201954469857,0.46092672407628643,0.8830033754187061,0.8849065616274596,0.8540163380259975,0.7733050913931689,0.552496005930244,0.5377671568316706,0.5529236165111077,0.49505617510409367,0.5775361510648787,0.5569726344785382,0.6023317253761221,0.570345764658325,0.560776100970522,0.5628391245267811,0.5638711098676971
asw_batch,dkd,0.7453055322689088,0.7783152581696083,0.7708216897367278,0.7816298552081169,0.7654850298937285,0.7712482338727934,0.8280571809485024,0.7940988907028503,0.8374597304581991,0.8272542144082494,0.7311079246573755,0.8019843677229364,0.7589675239503593,0.823679096307,0.8036755680662057,0.753969909149039,0.781431580754721,0.7680050081942758,0.77449355135767,0.7761983116890561,0.7770801618656623,0.762353382943256,0.8338208348344086,0.8260288406978276,0.8185314077548507,0.8023703749452288,0.7718980342363677,0.7698948327874073,0.45278013122455346,0.4411970690490516,0.45773978232899,0.404749817934001,0.4503737680626236,0.43760071467551265,0.45863394454324735
asw_batch,gtex_v9,0.748798590055423,0.8119536303389521,0.7810696508862589,0.8516768933935079,0.8516179405898932,0.7124260766809987,0.766304057392716,0.7455029815734763,0.8490423667790007,0.8515115522522445,0.6746531229951848,0.7338904544881281,0.7107422981141124,0.8183520619899467,0.7917146448955728,0.7620941615724164,0.8154680372662542,0.7972193891762615,0.8424009915518221,0.8402487212179844,0.8496883099152932,0.849630528359433,0.8511761849787025,0.8542796011106993,0.8207468692812115,0.7816356961912033,0.8408175349633918,0.8395423998826476,0.5573513123969763,0.5606068387769538,0.5561891730183097,0.5570575244186989,0.5313127179554784,0.5601224845827751,0.5512317380906504
asw_batch,hypomap,0.5696122999439612,0.6207549300394104,0.5926962897734332,0.6210584569641091,0.6522745936687585,0.7364645340603075,0.7744774382182491,0.7489362897746568,0.7670195918091681,0.8025871074074434,0.6698960579707601,0.7288120574300623,0.6822503289879852,0.7273386392197871,0.7182912687665026,0.4561887401867405,0.49037778380182284,0.4672706124529097,0.49282937337237476,0.45902464327972375,0.6160954400181938,0.608791319040121,0.7535363235361863,0.7771914783187952,0.7542231333420109,0.6861128990325186,0.48808121941649635,0.44445256644012865,0.3013081043588279,0.28112027890234065,0.2760467189277394,0.18806294237695143,0.17673711290476454,0.2373754154054085,0.22127081360425715
asw_batch,immune_cell_atlas,0.7801432239411563,0.8017151057030059,0.7916244358390845,0.8108823829961226,0.8143585073019038,0.7325958869839853,0.8050778327644309,0.7935312052553947,0.8293722904303878,0.8244812296214484,0.7013628302768853,0.7809580030903258,0.7646784426013556,0.8152145942844594,0.8163655890321765,0.7475237816494509,0.7677392670321971,0.7683166208472811,0.7709284547849071,0.7674112394396226,0.8170249180211882,0.8162039162023874,0.8256465225255537,0.8238154409968419,0.8196265400151791,0.8145563358469771,0.766920918476782,0.7653150289146693,0.5342403714081664,0.5280928975243787,0.529818176924325,0.4987757846451977,0.5022773074736648,0.5172079484295945,0.5116495794263147
asw_batch,mouse_pancreas_atlas,0.5666026366339499,0.579910352489272,0.5853184004021845,0.5469538954526981,0.5343172712485661,0.747290321134491,0.7603571144442162,0.7711545040379859,0.6464614392041174,0.6485487987790438,0.7246705273926538,0.7785989777684875,0.7447331756790125,0.7654653557359455,0.7433131079537753,0.768927320729681,0.8087689438847503,0.7942028296603934,0.7150255218322316,0.7262145257311295,0.5185126710269462,0.5115946986641405,0.6256430047920194,0.6099278711914556,0.7396550758402107,0.7318348054130014,0.6967041620669415,0.7024928019702006,0.41504481614999206,0.4127912559607153,0.40160273117533735,0.35358553564484674,0.32594268873509985,0.37915876037076995,0.3717924803207544
asw_batch,tabula_sapiens,0.7570839853184097,0.7754701615369888,0.7706169964318731,0.8109665639491582,0.8040122625856487,0.7066860323649099,0.7670946283724384,0.7455893633158289,0.8048116398815625,0.8045792122438921,0.6797467145439052,0.7199844082915072,0.7114765271537227,0.7528668900439348,0.7363253054845956,0.7583760891964908,0.7865117318318037,0.7716847679529104,0.7978318855318863,0.7842480229524079,0.8149560393220846,0.8124855852557162,0.8126234573948292,0.8128004295103727,0.7677535591140795,0.7598218363356003,0.8054601844398582,0.7903084872073984,0.6283052740571938,0.6273623181989554,0.6269905011157056,0.6158840037669449,0.6119471728067292,0.6208944229688916,0.6228069995937702
asw_batch,celegans_embryo,0.7284873996166531,0.7452685635499255,0.7387178969273467,0.7579782741500977,0.7572610333365104,0.692463616287604,0.7270227288305394,0.7198302066440555,0.7597164523379802,0.7547708830794272,0.664223568312534,0.7022316868840833,0.6906393186250694,0.7428200329878736,0.7010447230338684,0.6767917225096722,0.6742375303589223,0.6998161358253958,0.783855033335512,0.7494700154425771,0.7632331938946908,0.7584009050686891,0.7697776124668653,0.7674239641213773,0.7446007058097239,0.7280281898723772,0.7887540053330319,0.741976979087282,0.5374669072270527,0.5234094629812217,0.5272291656487792,0.48825049683862554,0.49461298017064165,0.5047591511054162,0.51351243714939
asw_batch,ocular_atlas,0.8708836174978256,0.876781933637322,0.8741089805440003,0.8841200833852826,0.8786499381505695,0.8524095678969149,0.8678622218616037,0.8637669712999967,0.8962125111424527,0.8915149998175073,0.8170949713287886,0.8286324387374682,0.8236560670756844,0.8451674618148126,0.8378892993975853,0.8521565464835607,0.8304565061112955,0.8536269363884339,0.8694381407169006,0.8542659132459868,0.8831494700710151,0.8802592278814307,0.905885090632807,0.9056613996173334,0.8627908059633921,0.8479467131520275,0.8800142578360011,0.8571520623223448,0.6605002890740985,0.6595053419471005,0.6538186891644902,0.6519920598867005,0.6229109422945861,0.6541546634857215,0.6441102941006833
asw_batch,tabula_muris,0.873058316014488,0.884006847891163,0.8780038033364908,0.8936721163119602,0.8973136358830645,0.8708045915193665,0.8855906694781723,0.8799890040856923,0.8995368006775598,0.8970143431507092,0.8546425926911636,0.8682236622220112,0.8600248975332913,0.8785691859429104,0.8697515383585729,0.865429245558714,0.8549228255212723,0.8686376447677242,0.8852368714597301,0.8680451203134814,0.8965590463522212,0.8997372552173305,0.9034452367946914,0.8980158678848631,0.8781922182812283,0.8724259831902083,0.8863341129274827,0.8666858545499506,0.7364772903755586,0.733260011446689,0.7344628848535931,0.7280766851184974,0.71450710951953,0.7288375789232461,0.723858912171602
asw_label,dkd,0.20102996741329693,0.07524226979692057,0.1132511384228682,0,0,0.18915191729158068,0.061268035568667154,0.17275949000528634,0,0,0.2109433164315354,0.0509607832156636,0.2021659140267511,0,0.03138523864910092,0.22875823461387418,0.16362229348602747,0.20370588029041767,0.12724905434223768,0.1343968263086496,0,0,0,0,0,0.015615300254653016,0.1223116778953767,0.13124816249675297,0.046715765967561065,0.053639543110114596,0.04230475811942335,0.04241576384030261,0.03078061221909735,0.042616927590413495,0.03096756138723799
asw_label,gtex_v9,0.09807173458067579,0.06175896450696673,0.07581878504827375,0,0,0.12409234506014213,0.04130752609317091,0.08867607058414365,0.012392935993795262,0.011735238796585544,0.13365665325546888,0.07765662471378701,0.09896699076775345,0.05230395708282672,0.07320034233679741,0.14337023418352657,0.13173170287435454,0.13649097948266659,0.05787991409736711,0.06466879357584093,0,0,0.010004628187214794,0.007327423744136582,0.049183839074842806,0.06641937343328366,0.050022489150759755,0.059079058372420834,0.1301298730165014,0.12837374569919213,0.125078154651556,0.08260833756073677,0.06343715557311629,0.09999311167842574,0.09225707016877054
asw_label,hypomap,0.23450686953081898,0.19472038426690425,0.18836452384981434,0.07462746059511388,0.08166832288275859,0.23393780203249862,0.20662052726292923,0.22645022304426338,0.04726642508680504,0.1172716186547396,0.2628901226428962,0.22520699518200699,0.26735626849646305,0.09912409738392143,0.1250572203967938,0.28339077491852926,0.2775248885525238,0.2759791755715541,0.2439771321307437,0.2719471541700563,0.05449539309174148,0.049110105370361604,0.04518875396170016,0.13290116462707213,0.050333555321289185,0.12117434457707402,0.20572242762407258,0.23515058808142617,0.13659979885953968,0.12121995556999009,0.12188451797564245,0.08284211283575661,0.08384365152844327,0.06915971840819987,0.09992543913314164
asw_label,immune_cell_atlas,0.10760297014730778,0.06838712904998763,0.08966421644452702,0.022679941783196052,0,0.1253696650728171,0.06460052410619067,0.10332066243838736,0,0,0.1303069509805067,0.09348286357365337,0.11378357158286148,0.04844734266826902,0.06004684688507586,0.14098360288641912,0.1354096583952478,0.13524338351828136,0.052041353007937184,0.03502341159719751,0.016719393164647198,0,0,0,0.03716294837373714,0.052301671250174285,0.005224160470011046,0,0.16171234350067173,0.1433092978441685,0.15527880011724854,0.029475623406099813,0.11588892694930034,0.04211148590874528,0.1469638596428484
asw_label,mouse_pancreas_atlas,0.17704311490098085,0.02903867805859976,0.09308028472129927,0,0,0.19887336760824156,0.001694963916126934,0.10435628000476518,0,0,0.2077802180153448,0.07278495903580796,0.1685916118974588,0.03652510828733471,0.08741685170048945,0.2086134755913668,0.05047763536343471,0.10504357754078655,0,0,0,0,0,0,0.020736703610572855,0.0931973091530877,0,0,0.07262466020637767,0.044034134656964076,0.0651552731345654,0.025846168172086143,0.017572056349483344,0.012689918182208769,0.009887123529792966
asw_label,tabula_sapiens,0.14679259769884068,0.112005032687258,0.1252392814375043,0.015501122557924263,0.01603310322427874,0.1879894915366885,0.12664196423326457,0.18387390449227548,0.015098099830981622,0.016090207730351105,0.1883995476392735,0.1795835146913999,0.18778015774363735,0.12003946785423837,0.16709343142765576,0.18849394900659122,0.1878528093366763,0.18549987861940578,0.1761569998803546,0.17422406191857964,0.011999425123411036,0.005501534078784152,0.00870789683232208,0.008019597185796517,0.11610959955812955,0.1252277346568897,0.17131524398687592,0.1716432408048124,0.128885020641928,0.12319766148300092,0.10320840156496587,0.04842150189247403,0.0397194383161485,0.09494818416942497,0.0810614551203222
asw_label,celegans_embryo,0.11968747434976514,0.10597014387387843,0.1222200285543081,0.027942948142907466,0,0.11063368844440118,0.1052478431978708,0.1136964097788562,0.012986599321767328,0.00936041481203789,0.11870712899512464,0.10909987726797146,0.11591474965672335,0.003164005140727471,0.0684305670839282,0.16436752302000693,0.19016091107271652,0.17784748282751645,0.07311597394534251,0.1044434334503844,0.009611317887429116,0,0,0,0,0.0009303246831281623,0.07269015824303826,0.11048028251197209,0.1472686088581589,0.07723931430875419,0.143203958791292,0,0.07301421286850508,0.0007366828402341926,0.13044553887602534
asw_label,ocular_atlas,0.1764312643697169,0.13405157043062807,0.1622978573002953,0,0,0.2526312176152625,0.20690406366132014,0.22798299848445785,0,0.007325173016579437,0.2660343446533966,0.2142364945243058,0.2457882642434912,0.08999006032271333,0.1320913604611351,0.2594194148825031,0.258482756768335,0.2553105878083027,0.1454016026041206,0.21332672532126032,0,0,0,0,0.06756856129424657,0.10971693288488797,0.12084989793881382,0.1853785236446512,0.2250838719403155,0.21742733559516714,0.21423719818778714,0.1209740459097276,0.18733518142503527,0.19356515388942527,0.2034846804069157
asw_label,tabula_muris,0.1735447107658909,0.13691776388996266,0.1549345226296915,0.015959763595167084,0.009508458988081172,0.2556194167604673,0.16655637862380177,0.21494427699006982,0.016629337882807557,0.023632181182935807,0.2671840611169152,0.20426961963636278,0.2536444484629101,0.09163082026740858,0.1494525055294831,0.2497295842396086,0.2537664227375848,0.23657981923287108,0.11642062829373197,0.2103867954782611,0.000653580691938914,0,0.013287209067919227,0.020372631811004602,0.0889178547206021,0.12627979943586048,0.11135312891698419,0.15377530192395017,0.17273248685679835,0.14675813675393992,0.16353415969737956,0.08585392704748047,0.06282509809102219,0.13500992025185232,0.09946636413002609
cell_cycle_conservation,dkd,1,0.7190152239892367,0.5358175275223259,0.0752613167486857,0.03939783069747351,0.9783310728509138,0.5595267213191746,0.9714215618940079,0.12674315830663788,0.14927920614959359,0.9581326003680449,0.4745506975488195,0.9584502569472856,0.23999380453715563,0.42071272342939614,0.962502004521391,0.8891471431186595,0.9715430104864978,0.7049139579717345,0.5212362483262515,0.058563539800604324,0.03716813198506027,0.10081366858548826,0.09875153358035539,0.19702236324917832,0.46871420729228847,0.5967140705436814,0.4914539783011244,0.46538427319650405,0.45989373008539886,0.44934618477285715,0.4398983180610958,0.43076321809160467,0.4548124850221266,0.44271859443026323
cell_cycle_conservation,gtex_v9,0.8431270560905102,0.48034157518531423,0.6126242401416758,0.12976867421557534,0.13858630270540856,1,0.800906988197886,0.9460040119176707,0.21519321587928317,0.21755161420241637,1,0.8535909738961692,0.9202829557010963,0.3483200256675057,0.5772294939447523,1,0.7227435536104236,0.888209595458202,0.3371751466692985,0.3310589949154315,0.12386124173237527,0.11994290063609056,0.19302701177478382,0.18014553462773736,0.3050311562604328,0.5730212742078541,0.2800033828767248,0.2870379036744706,0.5819564309248713,0.5868513732364167,0.5684226009813382,0.5802333555709153,0.5214557346522701,0.5912316582210602,0.5118798584056702
cell_cycle_conservation,hypomap,0.9319129352601574,1,0.9784214089450889,0.156409228535698,0.1553835472977613,0.8893051426683335,0.8988084905127081,0.9309887437179202,0.219010086638297,0.25364372294634085,0.8605306138776622,0.9281870083204952,0.9155480437293946,0.3583283267829108,0.40364734329924695,1,1,1,0.875249616474768,1,0.08307243065787806,0.08218491714829049,0.21260621069682192,0.22069787762620513,0.34700954722140276,0.38339384685810407,0.8255453668785624,0.781399585688372,0.5484332796864567,0.5279232261512565,0.46641145321913047,0.5097650096525435,0.43279617222256206,0.4603698553884692,0.42709810046407803
cell_cycle_conservation,immune_cell_atlas,0.9343648648691026,0.7189530761812993,0.8163375025613505,0.3712941383918216,0.2507890277174915,0.9867147360187356,0.7770062815017771,0.9424258336272412,0.25537166449133175,0.23976960117161422,0.9986887521716802,0.9041741161536567,0.9602200125032754,0.3240873231641667,0.40080193254956803,0.9528916866670645,0.9850187832343688,0.898071027408393,0.842098573885238,0.5863061080179905,0.32742539610774196,0.14989005214281564,0.19781234944718848,0.21124485299862794,0.2525711320591557,0.39327228136173,0.6642994466420581,0.3822398149470046,0.6497941904944494,0.7105624625504753,0.6704669438828175,0.7658658346805755,0.6909442943912177,0.7355859539927384,0.6707984607320195
